legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#24:19301,Leg,LJdybFv4xlYxx5n1vgej2rglbCd2,#32:8116,50.844,4.352,50.8444.352,50.843,4.347,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,634,4,walking,BEL,Sunday,Weekend,Walking
#22:21225,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#31:8997,50.853,4.342,50.8534.342,50.851,4.347,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,636,4,walking,BEL,Sunday,Weekend,Walking
#22:19782,Leg,KuDY0NpjM0Zn9NfL3CfFBnZ5qQ42,#33:8260,50.842,4.393,50.8424.393,50.842,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,642,5,walking,BEL,Tuesday,Working_day,Walking
#24:7277,Leg,O88QbwQ6ghOcPHJ94xPjI230VcB3,#33:2960,50.838,4.396,50.8384.396,50.841,4.402,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,643,4,walking,BEL,Tuesday,Working_day,Walking
#23:7950,Leg,LpOv0E0Dk6UeoDFAEmpSUt0ddex1,#30:3305,50.826,4.352,50.8264.352,50.827,4.352,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,646,5,walking,BEL,Sunday,Weekend,Walking
#24:8318,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#31:3447,50.849,4.345,50.8494.345,50.845,4.34,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,647,5,walking,BEL,Tuesday,Working_day,Walking
#25:26136,Leg,TtKfRLxsY2av6SFrPi3iBtsjfAi1,#30:11243,50.861,4.361,50.8614.361,50.858,4.356,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,658,5,walking,BEL,Wednesday,Working_day,Walking
#25:39378,Leg,D2BXY2v0yGeIF3KNlRF7daj7yvD2,#30:17049,50.837,4.386,50.8374.386,50.841,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,659,5,walking,BEL,Monday,Working_day,Walking
#22:21894,Leg,iO8CmmLFKwhlBzEh0f9Hf2w9iWr2,#30:9355,50.866,4.339,50.8664.339,50.867,4.332,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,668,5,walking,BEL,Wednesday,Working_day,Walking
#24:21814,Leg,iO8CmmLFKwhlBzEh0f9Hf2w9iWr2,#33:9236,50.866,4.339,50.8664.339,50.868,4.332,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,668,5,walking,BEL,Wednesday,Working_day,Walking
#23:7640,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:3172,50.844,4.384,50.8444.384,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,670,3,walking,BEL,Friday,Working_day,Walking
#24:19480,Leg,4ZfTYSt0erSVLAeGC28PY1Z8bbS2,#32:8183,50.858,4.384,50.8584.384,50.858,4.388,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,671,3,walking,BEL,Monday,Working_day,Walking
